类型,名称,出处,片段
概念,In vitro drug release,paper_295_39886543,"位置: Results and Discussion / chunk 9 | 证据: The release of RLGL from solid formulations is significantly higher than that of RLGL. For RLGL, there is a higher release of up to 90% at pH 1.2 for 5 min and 80% at pH 6.8 and 7.4 for 5 min."
概念,rare genetic diseases,paper_139_39861752,"位置: 前言 / chunk 0 | 证据: Rare genetic diseases, or orphan diseases, are a group of mono- and multigenetic diseases that can be hereditary or caused by a sporadic mutation."
概念,monogenic disorders,paper_139_39861752,"位置: 前言 / chunk 0 | 证据: Rare monogenic disorders are conditions with an individual incidence of less than 0.5‰, each resulting from a single genetic mutation."
概念,pulmonary cystic fibrosis,paper_139_39861752,位置: 前言 / chunk 0 | 证据: ...as pulmonary cystic fibrosis (CF) [3]...
概念,retinitis pigmentosa,paper_139_39861752,"位置: 前言 / chunk 0 | 证据: ...or in mitochondrial genes, as in retinitis pigmentosa (RP) [4]."
概念,plasmid gene therapy,paper_139_39861752,位置: 前言 / chunk 0 | 证据: Plasmid Gene Therapy for Monogenic Disorders: Challenges and Perspectives.
关系,pulmonary cystic fibrosis | caused_by | nuclear gene mutations,paper_139_39861752,"位置: 前言 / chunk 0 | 证据: ...based on whether they involve mutations in nuclear genes, as it occurs in diseases such as pulmonary cystic fibrosis (CF)..."
关系,retinitis pigmentosa | caused_by | mitochondrial gene mutations,paper_139_39861752,"位置: 前言 / chunk 0 | 证据: ...or in mitochondrial genes, as in retinitis pigmentosa (RP) [4]."
关系,rare monogenic disorders | incidence | less than 0.5‰,paper_139_39861752,位置: 前言 / chunk 0 | 证据: Rare monogenic disorders are conditions with an individual incidence of less than 0.5‰...
关系,gene therapy | addresses | monogenic disorders,paper_139_39861752,位置: 前言 / chunk 0 | 证据: ...gene therapy has appeared as a promising approach for addressing genetic diseases...
概念,challenges in gene therapy,paper_139_39861752,"位置: 前言 / chunk 0 | 证据: ...challenges remain unresolved, including inefficient delivery, lack of sustained expression, immunogenicity, toxicity, capacity limitations, genomic integration risks..."
概念,子宫内膜癌 (EC),paper_577_39878052,位置: 前言 / chunk 0 / page 3 | 证据: Endometrial cancer (EC) is a malignant tumor
概念,IGF2BP3,paper_577_39878052,位置: 前言 / chunk 0 / page 3 | 证据: IGF2BP3 plays an important role in cellular development
概念,HMGA1,paper_577_39878052,位置: 前言 / chunk 0 / page 3 | 证据: High-mobility group A1 (HMGA1) is essential for chromatin remodeling
概念,顺铂耐药,paper_577_39878052,位置: 前言 / chunk 0 / page 3 | 证据: detected in cisplatin-resistant AN3CA and Ishikawa cell lines
概念,孕酮耐药,paper_577_39878052,位置: 前言 / chunk 0 / page 3 | 证据: Progesterone resistance is a major challenge in EC
关系,IGF2BP3 | 表达上调 | 子宫内膜癌组织,paper_577_39878052,位置: Discussion / chunk 7 / pages 13-16 | 证据: observed markedly elevated expressions of IGF2BP3 and HMGA1 in cancer tissues compared to that in paracancerous tumors
关系,HMGA1 | 表达上调 | 子宫内膜癌组织,paper_577_39878052,位置: Discussion / chunk 7 / pages 13-16 | 证据: observed markedly elevated expressions of IGF2BP3 and HMGA1 in cancer tissues compared to that in paracancerous tumors
关系,IGF2BP3 | 高表达 | 顺铂耐药EC细胞,paper_577_39878052,位置: Discussion / chunk 7 / pages 13-16 | 证据: IGF2BP3 and HMGA1 were highly expressed in cisplatin-resistant EC cells
关系,HMGA1 | 高表达 | 顺铂耐药EC细胞,paper_577_39878052,位置: Discussion / chunk 7 / pages 13-16 | 证据: IGF2BP3 and HMGA1 were highly expressed in cisplatin-resistant EC cells
关系,IGF2BP3敲低 | 抑制生长 | 顺铂耐药EC细胞,paper_577_39878052,位置: Discussion / chunk 7 / pages 13-16 | 证据: IGF2BP3 knockdown decreased the growth of cisplatin-resistant EC cells
关系,IGF2BP3敲低 | 降低水平 | HMGA1蛋白,paper_577_39878052,位置: Discussion / chunk 7 / pages 13-16 | 证据: Knockdown of IGF2BP3 decreased the level of HMGA1 protein
关系,HMGA1敲低 | 抑制生长 | 顺铂耐药EC细胞,paper_577_39878052,位置: Discussion / chunk 7 / pages 13-16 | 证据: HMGA1 knockdown decreased the growth of cisplatin-resistant EC cells
关系,IGF2BP3 | 相互作用 | HMGA1,paper_577_39878052,位置: Discussion / chunk 7 / pages 13-16 | 证据: Co-IP study indicated that IGF2BP had interaction with HMGA1 on Ishikawa cells
关系,HMGA1过表达 | 削弱效应 | IGF2BP3敲低,paper_577_39878052,位置: Discussion / chunk 8 / pages 13-16 | 证据: HMGA1 over-expression compromised effects of IGF2BP3 on growth of EC cells
关系,HMGA1 | 对...至关重要 | 顺铂耐药,paper_577_39878052,位置: Discussion / chunk 8 / pages 13-16 | 证据: demonstrate that HMGA1 is essential for cisplatin resistance and EC cell growth
关系,IGF2BP3 | 调节生长 | 顺铂耐药EC细胞,paper_577_39878052,位置: Discussion / chunk 7 / pages 13-16 | 证据: IGF2BP3 is potentiated in endometrial tumors and closely regulates the growth of cisplatin-resistant EC cells via HMGA1
概念,主要发现,paper_577_39878052,"位置: Conclusion / chunk 9 / pages 17-18 | 证据: Overall, the expression levels of IGF2BP3 and HMGA1 were higher in EC tumor tissues than that in paracancerous tissues"
关系,靶向IGF2BP3和HMGA1 | 有前景 | 新治疗策略,paper_577_39878052,位置: Discussion / chunk 8 / pages 13-16 | 证据: This research underscores the promise of targeting both IGF2BP3 and HMGA1 in the development of novel therapeutic strategies for addressing drug-resistant EC
概念,rosuvastatin calcium (RC),paper_334_39861720,"位置: Results and Discussion / chunk 6 / pages 11-27 | 证据: Compared to other statins, rosuvastatin calcium (RC), a strong inhibitor of HMG-CoA reductase, has the highest affinity for the enzyme’s active site"
概念,nanovesicles (NVs),paper_334_39861720,位置: Introduction / chunk 0 / page 3 | 证据: Nanovesicles (NVs) have attracted substantial attention for their capacity to increase the bioavailability of active medicinal substances
概念,chitosan (CS) coating,paper_334_39861720,位置: Results and Discussion / chunk 9 / pages 11-27 | 证据: successful coating of Nop with CS. These results demonstrate the successful coating of Nop with CS.
概念,silver nanoparticles (AgNPs),paper_334_39861720,"位置: Introduction / chunk 0 / page 3 | 证据: The potent antibacterial properties of silver nanoparticles (AgNPs), which work against a range of drug-resistant bacteria, have also been emphasized"
概念,irradiated silver nanoparticles (AgirNPs),paper_334_39861720,"位置: Results and Discussion / chunk 16 / pages 11-27 | 证据: AgirNPs, irradiated silver nanoparticles; CS.Nop.AgNPs, chitosan-coated optimized formulation capped with silver nanoparticles"
概念,optimized formulation (Nop),paper_334_39861720,位置: Results and Discussion / chunk 8 / pages 11-27 | 证据: The determination of the Nop is based on the selection of the formulation that depicts the highest desirability
概念,chitosan-coated optimized formulation (CS.Nop),paper_334_39861720,"位置: Results and Discussion / chunk 9 / pages 11-27 | 证据: chitosan-coated optimized formulation (CS.Nop, (f))"
概念,irradiated optimized formulation (INop),paper_334_39861720,位置: Results and Discussion / chunk 16 / pages 11-27 | 证据: INop; irradiated optimized formulation
概念,hepatocellular carcinoma (HCC),paper_334_39861720,"位置: Introduction / chunk 0 / page 3 | 证据: Statin use has increased among patients with hepatocellular carcinoma (HCC), despite the lack of evidence that statins lower the incidence of HCC"
关系,rosuvastatin calcium | inhibits | HMG-CoA reductase,paper_334_39861720,"位置: Introduction / chunk 0 / page 3 | 证据: rosuvastatin calcium (RC), a strong inhibitor of HMG-CoA reductase, has the highest affinity for the enzyme’s active site"
关系,nanovesicles | increases | bioavailability,paper_334_39861720,位置: Introduction / chunk 0 / page 3 | 证据: Nanovesicles (NVs) have attracted substantial attention for their capacity to increase the bioavailability of active medicinal substances
关系,chitosan coating | enhances | mucoadhesion,paper_334_39861720,位置: Results and Discussion / chunk 13 / pages 11-27 | 证据: the positive charge of the chitosan (CS) coating significantly enhanced mucoadhesive properties
关系,irradiated AgNPs | increases | radiosensitivity,paper_334_39861720,位置: Introduction / chunk 0 / page 3 | 证据: silver nanoparticles improve the radiosensitivity of glioma cells
关系,CS.Nop | improves | drug retention,paper_334_39861720,位置: Results and Discussion / chunk 13 / pages 11-27 | 证据: CS coating gives the formulation a pH-responsive quality that allows for improved drug retention (DR) over time
关系,INop | reduces | IC50,paper_334_39861720,"位置: Results and Discussion / chunk 16 / pages 11-27 | 证据: With the lowest IC50 value of 33.33 µg/mL, INop notably showed the strongest anticancer activity"
关系,CS.Nop | increases | bioavailability,paper_334_39861720,"位置: Results and Discussion / chunk 18 / pages 11-27 | 证据: the bioavailability of Nop and CS.Nop was about 1.9 and 5 times, respectively, greater than that of free RC"
关系,surfactant type | affects | drug release,paper_334_39861720,位置: Results and Discussion / chunk 7 / pages 11-27 | 证据: the type of surfactant significantly (p = 0.0034) affected the amount of drug release
关系,cholesterol | stabilizes | membrane,paper_334_39861720,"位置: Results and Discussion / chunk 13 / pages 11-27 | 证据: Furthermore, cholesterol stabilized the membrane by adjusting the vesicle bilayer’s stiffness and fluidity"
关系,CS.Nop | extends | half-life,paper_334_39861720,位置: Results and Discussion / chunk 18 / pages 11-27 | 证据: CS.Nop has shown a longer t1/2 and delayed Tmax
关系,in vitro release | correlates_with | in vivo data,paper_334_39861720,"位置: Results and Discussion / chunk 19 / pages 11-27 | 证据: the CS.Nop has displayed a strong in vitro–in vivo correlation, with an R2 value of 0.9887"
概念,RNA N6-methyladenosine (m6A),paper_966_39874221,位置: 摘要 / chunk 0 | 证据: RNA N6-methyladenosine (m6A) plays diverse roles in RNA contributes to tumor initiation and progression.
概念,Clear cell renal cell carcinoma (ccRCC),paper_966_39874221,"位置: 摘要 / chunk 0 | 证据: Clear cell renal cell carcinoma (ccRCC) is characterized by near ubiquitous loss of VHL followed by mutations in SETD2, and BAP1."
概念,SETD2,paper_966_39874221,"位置: 摘要 / chunk 0 | 证据: Mutations in SETD2, a histone H3 lysine associated with reduced survival, greater metastatic propensity."
概念,H3K36me3,paper_966_39874221,"位置: 摘要 / chunk 0 | 证据: While m6A and H3K36me3 deregulation are separately implicated in renal tumorigenesis, the m6A-H3K36me3 interplay has not been investigated in the context of ccRCC."
概念,METTL3,paper_966_39874221,"位置: 摘要 / chunk 0 | 证据: Finally, we demonstrate a reversal of transcriptomic and metabolic reprogramming, and reduced cell viability upon pharmacologic inhibition or genetic ablation of m6A writer METTL3 specific to SETD2 deficient cells."
概念,Renal cell carcinoma (RCC),paper_966_39874221,位置: 前言 / chunk 1 | 证据: Renal cell carcinoma (RCC) is the 8 leading cause of cancer death in the US and among the 10 most frequently detected cancers worldwide.
概念,VHL gene,paper_966_39874221,"位置: 前言 / chunk 1 | 证据: CcRCC is characterized by near universal loss of chromosome 3p and the VHL gene, an E3 ubiquitin ligase that ubiquitylates and targets hypoxia inducible factors HIF1α and HIF2α for proteasome-mediated degradation."
概念,"Epigenetic regulators (PBRM1, BAP1)",paper_966_39874221,"位置: 前言 / chunk 1 | 证据: ccRCC progression is driven by subsequent loss of epigenetic regulators SETD2, PBRM1, and BAP1, which result in a profoundly disrupted epigenome."
概念,H3K27me3,paper_966_39874221,"位置: 前言 / chunk 1 | 证据: SETD2 loss in ccRCC leads to global H3K36me3 depletion accompanied by marked reorganization of the epigenome, particularly the repressive H3K27me3 mark deposited by polycomb repressive complex 2 (PRC2)."
概念,Metabolic reprogramming,paper_966_39874221,"位置: 前言 / chunk 1 | 证据: SETD2 loss has also been linked to defective DNA repair, altered mRNA splicing, and metabolic reprogramming."
概念,SETD2 mutations frequency,paper_966_39874221,位置: 前言 / chunk 1 | 证据: SETD2 mutations occur in 15–20% of primary ccRCC but increase to nearly 60% in metastatic ccRCC.
概念,LY96 gene,paper_966_39874221,"位置: Discussion / chunk 12 | 证据: Included genes such as LY96 that not only show higher expression in ccRCC and reduced RCC-specific survival, but have also been implicated in M2 macrophage infiltration in RCC to promote chemotherapy resistance."
概念,H3K27ac,paper_966_39874221,位置: Discussion / chunk 12 | 证据: Genomic regions linked to differential m6A hypermethylation due to H3K36me3 depletion were enriched for active enhancer chromatin mark H3K27ac.
概念,Fatty acid synthesis and glycolysis,paper_966_39874221,位置: Discussion / chunk 13 | 证据: CcRCC is characterized by increased expression of genes that promote fatty acid synthesis and glycolysis due to HIF1α and HIF2α activation resulting from the near universal loss of the VHL tumor suppressor gene.
概念,SETD2-m6A coordinately regulated genes,paper_966_39874221,"位置: Discussion / chunk 13 | 证据: In this study, we identified a core set of 476 SETD2-m6A coordinately regulated genes that changed both their expression and RNA methylation status based on loss or rescue of global H3K36me3 levels."
概念,Oxidative phosphorylation and fatty acid β-oxidation,paper_966_39874221,"位置: Discussion / chunk 13 | 证据: SETD2 loss-of-function alters pathways regulating energy metabolism, resulting in a shift toward increased oxidative phosphorylation and fatty acid β-oxidation."
概念,FTO demethylase,paper_966_39874221,位置: Discussion / chunk 13 | 证据: One study showed that expression of the m6A demethylase FTO was elevated in ccRCC compared to normal renal tissue.
概念,YTHDF and IGF2BP m6A readers,paper_966_39874221,"位置: Discussion / chunk 14 | 证据: M6A readers like the YTHDF1 − 3 paralogs, have a transcript translation or decay promoting effect. IGF2BP1–3 family primarily elicit stabilizing effects on mRNA transcripts."
关系,SETD2 mutation | associated_with | reduced survival and greater metastatic propensity,paper_966_39874221,"位置: 摘要 / chunk 0 | 证据: Mutations in SETD2, a histone H3 lysine associated with reduced survival, greater metastatic propensity."
关系,VHL loss | leads_to | HIF1α/HIF2α activation,paper_966_39874221,位置: 前言 / chunk 1 | 证据: VHL gene... targets hypoxia inducible factors HIF1α and HIF2α for proteasome-mediated degradation under normoxic conditions. While VHL loss is the key initiating event...
关系,SETD2 loss | leads_to | H3K36me3 depletion and epigenome reorganization,paper_966_39874221,"位置: 前言 / chunk 1 | 证据: SETD2 loss in ccRCC leads to global H3K36me3 depletion accompanied by marked reorganization of the epigenome, particularly the repressive H3K27me3 mark."
关系,H3K36me3 depletion | results_in | m6A redistribution,paper_966_39874221,位置: Discussion / chunk 12 | 证据: Our study revealed that loss of SETD2 and the H3K36me3 chromatin mark results in widespread redistribution of m6A throughout the transcriptome.
关系,m6A hypermethylation | enriched_in | active enhancer regions (H3K27ac),paper_966_39874221,位置: Discussion / chunk 12 | 证据: Genomic regions linked to differential m6A hypermethylation due to H3K36me3 depletion were enriched for active enhancer chromatin mark H3K27ac.
关系,SETD2 deficiency | causes | metabolic shift to oxidative phosphorylation and fatty acid oxidation,paper_966_39874221,"位置: Discussion / chunk 13 | 证据: SETD2 loss-of-function alters pathways regulating energy metabolism, resulting in a shift toward increased oxidative phosphorylation and fatty acid β-oxidation."
关系,METTL3 inhibition | reverses | metabolic reprogramming in SETD2 deficient cells,paper_966_39874221,位置: Discussion / chunk 13 | 证据: The gene expression patterns signaling metabolic reprogramming in SETD2 deficient ccRCC... are reversed through pharmacologic inhibition or genetic depletion of METTL3 in SETD2 KO 786-O cells.
关系,SETD2 deficient cells | are_sensitive_to | METTL3 loss,paper_966_39874221,"位置: Discussion / chunk 13 | 证据: SETD2 deficient cells were preferentially sensitive to METTL3 loss, potentially through an impact on key metabolic processes."
关系,Targeting m6A | is_potential_therapy_for | SETD2 mutant ccRCC,paper_966_39874221,位置: Discussion / chunk 13 | 证据: Targeting m6A in SETD2 mutant ccRCC could be an efficacious therapeutic strategy.
关系,FTO | promotes | ccRCC by increasing glutamine uptake and inhibiting autophagy,paper_966_39874221,位置: Discussion / chunk 13 | 证据: FTO mediated m6A demethylation... thereby promoting ccRCC by increasing glutamine uptake and inhibiting autophagy.
概念,silkworm (Bombyx mori),paper_187_39881670,"位置: Major Model Organisms for Silk Protein Production / chunk 0 | 证据: The silkworm, as a paradigm of economically important insects, has contributed to the brilliance of the silk industry through its exceptional silk-spinning ability."
概念,silk gland tissue,paper_187_39881670,"位置: Major Model Organisms for Silk Protein Production / chunk 0 | 证据: Its unique silk gland tissue, consisting of ASG, MSG, and PSG, is the core site for silk protein synthesis and secretion."
概念,anterior silk gland (ASG),paper_187_39881670,"位置: Major Model Organisms for Silk Protein Production / chunk 0 | 证据: ASG serves as the initial segment of the silk gland tissue in the Bombyx mori silkworm, responsible for receiving and initially processing the sericin protein precursor."
概念,middle silk gland (MSG),paper_187_39881670,位置: Major Model Organisms for Silk Protein Production / chunk 0 | 证据: MSG represents the core component of the silk gland tissue in the Bombyx mori silkworm and serves as the primary site for the synthesis and secretion of fibroin protein.
概念,posterior silk gland (PSG),paper_187_39881670,"位置: Major Model Organisms for Silk Protein Production / chunk 0 | 证据: PSG is the terminal segment of the silk gland tissue in the Bombyx mori silkworm, primarily responsible for mixing the fibroin fibers with the sericin protein solution and secreting them."
概念,sericin,paper_187_39881670,"位置: Major Model Organisms for Silk Protein Production / chunk 0 | 证据: Sericin, a viscous substance surrounding the fibroin protein in silk, plays a crucial role in enhancing the strength and toughness of silk threads."
概念,fibroin,paper_187_39881670,"位置: Major Model Organisms for Silk Protein Production / chunk 1 | 证据: Fibroin is the core component of silk structure, comprising three key constituents: Fib-H, Fib-L, and P25 glycoprotein."
概念,silk protein synthesis regulation,paper_187_39881670,位置: Major Model Organisms for Silk Protein Production / chunk 1 | 证据: The developmental process of the silk gland in silkworms is precisely regulated by a complex network of hormonal signals.
概念,PI3K-Akt-SGF1-Dimm signaling pathway,paper_187_39881670,"位置: Major Model Organisms for Silk Protein Production / chunk 1 | 证据: Especially during the peak growth period, nutrients pass through the PI3K-Akt-SGF1-Dimm signaling pathway, significantly accelerating the massive synthesis of silk proteins."
概念,transcription factor STAT,paper_187_39881670,"位置: Major Model Organisms for Silk Protein Production / chunk 1 | 证据: Meanwhile, the transcription factor STAT plays a pivotal role in the immune response of silkworms."
概念,spider silk proteins,paper_187_39881670,"位置: Major Model Organisms for Silk Protein Production / chunk 1 | 证据: Apart from silk proteins derived from silkworms, spider silk proteins also constitute an important category."
关系,silkworm | produces | silk,paper_187_39881670,位置: Major Model Organisms for Silk Protein Production / chunk 0 | 证据: The silkworm not only produces silk for cocoon formation but also has its larval excretions applied in traditional Chinese medicine.
关系,ASG | processes | sericin precursor,paper_187_39881670,位置: Major Model Organisms for Silk Protein Production / chunk 0 | 证据: ASG serves as the initial segment... responsible for receiving and initially processing the sericin protein precursor.
关系,MSG | synthesizes_and_secretes | fibroin,paper_187_39881670,位置: Major Model Organisms for Silk Protein Production / chunk 0 | 证据: MSG... serves as the primary site for the synthesis and secretion of fibroin protein.
关系,PSG | mixes_and_secretes | silk threads,paper_187_39881670,位置: Major Model Organisms for Silk Protein Production / chunk 0 | 证据: PSG... primarily responsible for mixing the fibroin fibers with the sericin protein solution and secreting them outside the body.
关系,sericin | enhances | silk strength and toughness,paper_187_39881670,位置: Major Model Organisms for Silk Protein Production / chunk 0 | 证据: Sericin... plays a crucial role in enhancing the strength and toughness of silk threads.
关系,"fibroin | exhibits | high strength, toughness, elasticity",paper_187_39881670,"位置: Major Model Organisms for Silk Protein Production / chunk 1 | 证据: Fibroin exhibits exceptional mechanical properties, imparting silk with high strength, toughness, and good elasticity."
关系,PI3K-Akt-SGF1-Dimm pathway | accelerates | silk protein synthesis,paper_187_39881670,"位置: Major Model Organisms for Silk Protein Production / chunk 1 | 证据: nutrients pass through the PI3K-Akt-SGF1-Dimm signaling pathway, significantly accelerating the massive synthesis of silk proteins."
关系,STAT | regulates | immune response,paper_187_39881670,位置: Major Model Organisms for Silk Protein Production / chunk 1 | 证据: the transcription factor STAT plays a pivotal role in the immune response of silkworms.
关系,silk proteins | have_potential_in | biomedicine,paper_187_39881670,位置: Major Model Organisms for Silk Protein Production / chunk 0 | 证据: By reviewing past milestones... this review aims to provide readers with insights into the applications and application potential of silk proteins in biomedicine.
概念,Squamous cell carcinoma (SCC),paper_671_39867572,位置: 摘要 / chunk 0 | 证据: Squamous cell carcinoma (SCC) is the most common malignancy of the head and neck.
概念,head and neck SCC,paper_671_39867572,"位置: 摘要 / chunk 0 | 证据: Stagnating survival rates in recent decades, despite advances in the treatment paradigms, surveillance technologies, and multidisciplinary care, leave clinicians with a need for better options for screening, risk-stratifying, and monitoring patients."
概念,HPV-associated SCC,paper_671_39867572,位置: 摘要 / chunk 0 | 证据: A growing proportion of patients with HPV-associated SCC have improved outcomes but continue to have a heterogenous response to treatment.
概念,circulating tumor DNA (ctDNA),paper_671_39867572,位置: 摘要 / chunk 0 | 证据: Advances in the platforms and assays measuring circulating tumor DNA offer an opportunity to monitor disease status at the molecular level for both virally mediated and traditional risk-factor-driven SCC of the head and neck.
概念,liquid biopsy,paper_671_39867572,"位置: 摘要 / chunk 0 | 证据: This overview will discuss experimental, clinically used, and commercially available liquid biopsy platforms and their recent applications in patients with head and neck SCC malignancies."
关系,HPV-associated SCC | has_outcome | improved outcomes,paper_671_39867572,位置: 摘要 / chunk 0 | 证据: A growing proportion of patients with HPV-associated SCC have improved outcomes but continue to have a heterogenous response to treatment.
关系,circulating tumor DNA | enables | disease monitoring,paper_671_39867572,位置: 摘要 / chunk 0 | 证据: Advances in the platforms and assays measuring circulating tumor DNA offer an opportunity to monitor disease status at the molecular level.
概念,diagnostic and surveillance technologies,paper_671_39867572,位置: 前言 / chunk 1 | 证据: The application of diagnostic and surveillance technologies that use biomarkers in readily available bodily fluids such as blood and saliva has exploded in the last decade.
概念,drug targeting,paper_14_39861768,位置: 前言 / chunk 0 | 证据: Drug targeting is the ability of a drug to selectively and quantitatively accumulate in the target tissue or organ
概念,nanoparticles,paper_14_39861768,位置: 前言 / chunk 0 | 证据: combining these systems with nanoparticle technologies at both local and systemic levels effectively
概念,drug delivery systems,paper_14_39861768,位置: 前言 / chunk 0 | 证据: Various drug delivery systems (DDS) were investigated in this article
概念,nanotechnology,paper_14_39861768,位置: 前言 / chunk 0 | 证据: Advances in nanotechnology have had a significant impact on the pharmaceutical industry
概念,targeted drug delivery,paper_14_39861768,位置: 前言 / chunk 1 | 证据: Targeted drug delivery is defined as the specific release of a bioactive agent into a certain structure at a certain rate
概念,nanocarriers,paper_14_39861768,位置: 前言 / chunk 1 | 证据: Nanotechnology focuses on the formulation of therapeutic agents in liposomes and nanocarriers
概念,controlled drug delivery,paper_14_39861768,位置: 前言 / chunk 1 | 证据: The process of administering pharmaceuticals to achieve a therapeutic effect is known as controlled drug delivery
关系,drug targeting | addresses_problem | side effects,paper_14_39861768,位置: 前言 / chunk 0 | 证据: Drug targeting offers a solution to... many negative side effects
关系,nanoparticles | enables | targeted drug delivery,paper_14_39861768,位置: 前言 / chunk 1 | 证据: nanoparticles have the potential to be used in the diagnosis and treatment... enable targeted drug delivery
关系,targeted drug delivery | improves | patient compliance,paper_14_39861768,位置: 前言 / chunk 1 | 证据: Targeted drug delivery systems deliver drugs more efficiently... improve patient compliance
关系,targeted drug delivery | prolongs | drug half-life,paper_14_39861768,位置: 前言 / chunk 1 | 证据: Targeted drug delivery systems... prolong drug half-life
关系,nanotechnology | impacts | pharmaceutical industry,paper_14_39861768,位置: 前言 / chunk 1 | 证据: Advances in nanotechnology have had a significant impact on the pharmaceutical industry
概念,"坏死性筋膜炎 (Necrotizing fasciitis, NF)",paper_615_39867946,位置: 前言 / chunk 0 / page 2 | 证据: Necrotizing fasciitis (NF) is an uncommon but serious life-threatening infection.
概念,坏死性筋膜炎死亡率,paper_615_39867946,位置: 前言 / chunk 0 / page 2 | 证据: Its mortality is as high as 30% and even reaches 70% once an incorrect or delayed diagnosis is made.
概念,坏死性筋膜炎标准治疗,paper_615_39867946,位置: 前言 / chunk 0 / page 2 | 证据: Rapid debridement and broad-spectrum antibiotics are the gold standards in the treatment of NF.
概念,深筋膜 (deep fascia),paper_615_39867946,位置: Discussion / chunk 6 / pages 10-15 | 证据: Deep fascia has been regarded as the fiber tissue surrounding muscles.
概念,单细胞RNA测序 (scRNA-seq),paper_615_39867946,位置: 前言 / chunk 0 / page 2 | 证据: the change of cells from deep fascia in response to NF by single-cell RNA sequencing (scRNA-seq).
概念,成纤维细胞亚型 (fibroblast subtypes),paper_615_39867946,位置: Discussion / chunk 6 / pages 10-15 | 证据: we found the significant variations of fibroblast subtypes and macrophage subclusters derived from deep fascia.
概念,巨噬细胞亚群 (macrophage subclusters),paper_615_39867946,位置: Discussion / chunk 6 / pages 10-15 | 证据: we found the significant variations of fibroblast subtypes and macrophage subclusters derived from deep fascia.
概念,血清淀粉样蛋白A1 (SAA1),paper_615_39867946,"位置: Discussion / chunk 7 / pages 10-15 | 证据: SAA1, one type of serum amyloid A family apolipoprotein, contributes to the regulation of inflammation and immunity."
概念,正五聚蛋白3 (PTX3),paper_615_39867946,位置: Discussion / chunk 8 / pages 10-15 | 证据: PTX3 can be a biomarker or even a candidate therapy for NF.
概念,M1/M2巨噬细胞极化,paper_615_39867946,"位置: Discussion / chunk 8 / pages 10-15 | 证据: Macrophages are divided into two major subclusters: M1 macrophages contribute to a pro-inflammatory role leading to antimicrobial activity, while M2 macrophages play an anti-inflammatory role."
