id,name,labels,entity_type,created_at,updated_at
ent_3def2e62,β increases,Entity;Concept,Concept,2026-01-26T18:25:59.473000,2026-01-26T18:25:59.544000
ent_3e0468e9,"12,320 triplets",Entity;Finding,Finding,2026-01-26T18:30:58.800000,
ent_404ae9b0,EmbR,Entity;Concept,Concept,2026-01-26T18:30:58.345000,
ent_41b6f3bb,embedding cluster explanation,Entity;Concept,Concept,2026-01-26T18:30:58.474000,
ent_432575e0,higher precision,Entity;Metric,Metric,2026-01-26T18:25:59.246000,
ent_4513eb3e,entity categorical embeddings,Entity;Concept,Concept,2026-01-26T18:25:59.999000,
ent_475b00bb,instruction awareness tests,Entity;Task,Task,2026-01-26T18:30:58.280000,2026-01-26T18:30:58.800000
ent_4919662c,entity mask strategy,Entity;Concept,Concept,2026-01-26T18:26:00.097000,
ent_4a7a397c,proposed model,Entity;Method,Method,2026-01-26T18:26:00.026000,
ent_4a813d93,entity masking,Entity;Concept,Concept,2026-01-26T18:26:00.512000,
ent_4bdd361b,Transformer,Entity;Method,Method,2026-01-26T18:25:57.435000,
ent_4fa90105,precision,Entity;Metric,Metric,2026-01-26T18:25:59.473000,2026-01-26T18:25:59.636000
ent_51a3505f,LLM hidden states,Entity;Concept,Concept,2026-01-26T18:30:57.971000,
ent_531b4610,F1 score by 0.2,Entity;Metric,Metric,2026-01-26T18:25:59.943000,
ent_5391b429,large-scale textual data analysis and management,Entity;Task,Task,2026-01-26T18:30:57.275000,
ent_551a9bcd,traditional sentence transformers and aggregated embeddings from LLMs,Entity;Finding,Finding,2026-01-26T18:30:58.410000,
ent_55ce97ed,NER embeddings,Entity;Concept,Concept,2026-01-26T18:25:59.943000,
ent_55e6ecd9,Text embedder,Entity;Tool,Tool,2026-01-26T18:30:57.181000,
ent_568e851f,avg-gen,Entity;Method,Method,2026-01-26T18:30:58.211000,
ent_59b99dd0,entity mask is used,Entity;Concept,Concept,2026-01-26T18:26:00.026000,
ent_5a77d9bb,macro-averaged F1 score,Entity;Metric,Metric,2026-01-26T18:25:59.096000,
ent_5b4bced9,self-attention,Entity;Method,Method,2026-01-26T18:25:57.792000,
ent_5b76b028,INBEDDER,Entity;Tool,Tool,2026-01-26T18:30:57.468000,2026-01-26T18:30:58.151000
ent_5b76b028,INBEDDER,Entity;Method,Method,2026-01-26T18:30:58.474000,2026-01-26T18:30:58.662000
ent_5c716ac3,0.9 F1 score,Entity;Metric,Metric,2026-01-26T18:25:59.328000,
ent_604340ad,other methods,Entity;Concept,Concept,2026-01-26T18:30:59.671000,
ent_60aab848,output masking,Entity;Concept,Concept,2026-01-26T18:26:00.443000,
ent_61178a51,a two-step approach,Entity;Method,Method,2026-01-26T18:30:58.033000,
ent_6181e787,relation extraction task,Entity;Task,Task,2026-01-26T18:25:55.305000,2026-01-26T18:25:58.081000
ent_6181e787,semantic relationship between two entities,Entity;Concept,Concept,2026-01-26T18:25:56.112000,
ent_646d69aa,natural language processing systems,Entity;Concept,Concept,2026-01-26T18:30:57.358000,
ent_64c4c08a,integrated models,Entity;Method,Method,2026-01-26T18:25:55.781000,2026-01-26T18:25:59.328000
ent_67ce7049,knowledge-informed self-attention encoder,Entity;Method,Method,2026-01-26T18:25:58.830000,
ent_6831c521,diversity in instructions,Entity;Finding,Finding,2026-01-26T18:30:58.091000,
ent_6a8ce3e7,Vaswani et al. (2017),Entity;Finding,Finding,2026-01-26T18:25:57.435000,
ent_6a8ce3e7,Vaswani et al. (2017),Entity;Concept,Concept,2026-01-26T18:25:58.402000,
ent_6c969df8,2758,Entity;Finding,Finding,2026-01-26T18:30:58.860000,
ent_6ef18be3,ability to address user-specific objectives,Entity;Finding,Finding,2026-01-26T18:30:57.721000,
ent_73901d9c,attention mechanisms,Entity;Method,Method,2026-01-26T18:25:54.772000,
ent_73901d9c,attention mechanisms,Entity;Concept,Concept,2026-01-26T18:25:57.349000,
ent_7512e45b,STSb,Entity;Dataset,Dataset,2026-01-26T18:30:58.778000,
ent_75e24e1a,Text embedders,Entity;Tool,Tool,2026-01-26T18:30:57.275000,2026-01-26T18:30:57.721000
ent_7c8e385d,1st-gen,Entity;Concept,Concept,2026-01-26T18:30:59.416000,
ent_7d8523e9,multi-channel attention (MCA),Entity;Method,Method,2026-01-26T18:25:59.872000,
ent_7de0e988,instruction-following capabilities,Entity;Finding,Finding,2026-01-26T18:30:57.468000,
ent_7f812081,generating tokens then caching intermediate hidden states,Entity;Concept,Concept,2026-01-26T18:30:59.543000,
ent_820ccc58,huggingface,Entity;Tool,Tool,2026-01-26T18:30:59.735000,
ent_83300226,priority weight β,Entity;Concept,Concept,2026-01-26T18:25:59.636000,2026-01-26T18:25:59.695000
ent_8354b322,106k sentences,Entity;Concept,Concept,2026-01-26T18:25:58.865000,
ent_84171c20,end-to-end and fully attention-based,Entity;Concept,Concept,2026-01-26T18:25:55.522000,
ent_86cff112,avg-all,Entity;Concept,Concept,2026-01-26T18:30:59.242000,
ent_87eccb5b,better performance,Entity;Finding,Finding,2026-01-26T18:25:57.062000,
ent_90f43769,"micro-averaged precision, recall and F1 score",Entity;Metric,Metric,2026-01-26T18:25:58.935000,2026-01-26T18:26:00.580000
ent_91790177,recall,Entity;Metric,Metric,2026-01-26T18:25:59.544000,2026-01-26T18:25:59.695000
ent_9255994f,better interpretability,Entity;Finding,Finding,2026-01-26T18:30:58.151000,
ent_93eb4fea,SemEval2010-Task8,Entity;Dataset,Dataset,2026-01-26T18:25:59.025000,2026-01-26T18:25:59.096000
ent_957c1a3b,feature vector f2,Entity;Concept,Concept,2026-01-26T18:25:58.701000,
ent_966d7d7c,many NLP tasks,Entity;Task,Task,2026-01-26T18:25:54.772000,
ent_9df52863,Thesaurus.com,Entity;Dataset,Dataset,2026-01-26T18:25:58.319000,
ent_9df52863,over 3 million synonyms and antonyms,Entity;Concept,Concept,2026-01-26T18:25:58.319000,
ent_9e18f07f,relation extraction,Entity;Task,Task,2026-01-26T18:25:57.158000,2026-01-26T18:26:00.647000
ent_9e18f07f,linguistic clues of relations,Entity;Concept,Concept,2026-01-26T18:25:58.481000,
ent_9e47c51a,adding features,Entity;Concept,Concept,2026-01-26T18:25:59.872000,
ent_a68f6a61,state-of-the-art performance,Entity;Finding,Finding,2026-01-26T18:25:55.946000,
ent_a7618645,effects of padding tokens,Entity;Concept,Concept,2026-01-26T18:26:00.443000,
ent_aaedf01f,performance,Entity;Finding,Finding,2026-01-26T18:26:00.097000,
ent_b032eb54,feature vectors,Entity;Concept,Concept,2026-01-26T18:25:58.628000,
ent_b1f1b0f2,sentence embedding function,Entity;Method,Method,2026-01-26T18:30:59.543000,
ent_b2d8cea8,knowledge-attention mechanism,Entity;Method,Method,2026-01-26T18:25:56.491000,2026-01-26T18:26:00.844000
ent_b2e9fe5f,neural network’s ability of capturing linguistic clues,Entity;Concept,Concept,2026-01-26T18:25:57.906000,
ent_b4bcbeca,relation extraction system,Entity;Method,Method,2026-01-26T18:25:55.522000,
ent_b4bcbeca,informative linguistic clues of relations,Entity;Concept,Concept,2026-01-26T18:26:00.891000,
ent_b634cc35,relation indicators mean vector subtraction,Entity;Concept,Concept,2026-01-26T18:26:00.374000,
ent_b7ca8c55,BOS token,Entity;Concept,Concept,2026-01-26T18:30:59.416000,
ent_ba214aaf,Contemporary LLMs,Entity;Concept,Concept,2026-01-26T18:30:57.911000,
ent_c0d1f715,3 clusters,Entity;Finding,Finding,2026-01-26T18:30:58.983000,
ent_c148cea8,knowledge into Transformer,Entity;Method,Method,2026-01-26T18:25:58,2026-01-26T18:30:57.911000
ent_c1f64211,instruction robustness,Entity;Task,Task,2026-01-26T18:30:58.921000,
ent_c6258b09,avg-ppt & 1st-gen,Entity;Concept,Concept,2026-01-26T18:30:59.609000,
ent_c64c31ab,large language models,Entity;Tool,Tool,2026-01-26T18:30:57.554000,
ent_c7b424c1,Re-encoding,Entity;Method,Method,2026-01-26T18:30:58.033000,2026-01-26T18:30:58.345000
ent_c7b424c1,encoder,Entity;Concept,Concept,2026-01-26T18:30:59.303000,
ent_c94d7a4c,avg-ppt,Entity;Concept,Concept,2026-01-26T18:30:59.303000,
ent_cb83ffac,knowledge-attention,Entity;Method,Method,2026-01-26T18:25:58.701000,2026-01-26T18:25:58.830000
ent_cc20eece,relative position embedding,Entity;Concept,Concept,2026-01-26T18:26:00.580000,
ent_ccdebf4d,sentence pair generation,Entity;Task,Task,2026-01-26T18:30:58.778000,
ent_d07a4aa3,knowledge-attention encoder,Entity;Method,Method,2026-01-26T18:25:55.305000,2026-01-26T18:26:00.891000
ent_d24bbc6c,competitive results on TACRED dataset,Entity;Finding,Finding,2026-01-26T18:25:57.688000,
ent_d285f2e1,generation function,Entity;Concept,Concept,2026-01-26T18:30:59.735000,
ent_d28611d8,knowledge-attention performance,Entity;Concept,Concept,2026-01-26T18:26:00.250000,
ent_d3bc5b39,RateMyProf,Entity;Dataset,Dataset,2026-01-26T18:30:59.044000,
ent_d5c58f40,"multi-channel attention, softmax interpolation, and knowledge-informed self-attention",Entity;Concept,Concept,2026-01-26T18:25:56.957000,
ent_d5c58f40,multi-channel attention,Entity;Method,Method,2026-01-26T18:25:58.628000,2026-01-26T18:25:59.719000
ent_d90430dd,encoder-only models,Entity;Method,Method,2026-01-26T18:30:59.483000,
ent_d959342c,entity overfitting,Entity;Concept,Concept,2026-01-26T18:26:00.512000,
ent_dc86c260,observations on LLMs,Entity;Concept,Concept,2026-01-26T18:30:57.781000,
ent_dde7fc9b,4 clusters,Entity;Finding,Finding,2026-01-26T18:30:59.044000,
ent_e1a9d322,Convolutional Neural Networks,Entity;Method,Method,2026-01-26T18:25:57.158000,
ent_e4471500,sentence pairs,Entity;Dataset,Dataset,2026-01-26T18:30:58.860000,
ent_e4af4e66,reliance on training data,Entity;Concept,Concept,2026-01-26T18:25:56.372000,
ent_e4f1c707,integration strategies,Entity;Concept,Concept,2026-01-26T18:25:56.957000,
ent_e55418c1,graph convolution,Entity;Method,Method,2026-01-26T18:25:57.258000,
ent_e5f2f843,single-head,Entity;Concept,Concept,2026-01-26T18:26:00.168000,
ent_e620c83a,"FewNerd, FewRel, FewEvent datasets",Entity;Dataset,Dataset,2026-01-26T18:30:58.921000,
ent_e6658b46,best performance,Entity;Finding,Finding,2026-01-26T18:25:59.401000,
ent_eda93661,re-encoding efficiency,Entity;Finding,Finding,2026-01-26T18:30:58.211000,
ent_ee513e52,NYTClustering,Entity;Dataset,Dataset,2026-01-26T18:30:59.176000,
ent_efca1d5a,8000 training samples and 2717 testing samples,Entity;Concept,Concept,2026-01-26T18:25:59.025000,
ent_f0f7d7fa,location and topic,Entity;Finding,Finding,2026-01-26T18:30:59.176000,
ent_f653e11e,TACRED,Entity;Dataset,Dataset,2026-01-26T18:25:55.946000,2026-01-26T18:26:00.712000
ent_f954a5e1,activation of irrelevant words,Entity;Concept,Concept,2026-01-26T18:26:00.374000,
ent_f9a041ed,embed-via-answering idea,Entity;Concept,Concept,2026-01-26T18:30:57.654000,
ent_fba8a992,avg-gen & 1st-gen & last-gen,Entity;Concept,Concept,2026-01-26T18:30:59.360000,2026-01-26T18:30:59.483000
ent_fe7250a3,encoding the entire corpus w.r.t. each user query,Entity;Concept,Concept,2026-01-26T18:30:58.539000,
,Task,Ontology,,2026-01-26T18:17:19.641000,
,Method,Ontology,,2026-01-26T18:17:20.348000,
,Metric,Ontology,,2026-01-26T18:17:20.360000,
,Dataset,Ontology,,2026-01-26T18:17:20.368000,
,Tool,Ontology,,2026-01-26T18:17:20.375000,
,Finding,Ontology,,2026-01-26T18:17:20.381000,
,Concept,Ontology,,2026-01-26T18:17:20.387000,
